"","cs","means","sds","means_unif","sds_unif","means_beta5","sds_beta5","means_beta2","sds_beta2"
"1",0.1,402.971,114.183861001076,280.629,35.9007273076914,248.355,15.3852423016565,264.19,24.3903831620332
"2",0.11,384.65,114.912220056521,256.861,32.8891376350061,226.318,14.075830526296,242.273,22.9423368866779
"3",0.12,380.167,123.639936690961,240.164,31.8705009818301,210.125,14.7946022337627,223.999,23.7188444613683
"4",0.13,375.589,125.144553370246,225.12,30.676581502062,194.729,14.3961386422821,209.085,21.741445799796
"5",0.14,367.315,135.518925446427,211.933,31.0583826709334,182.117,13.1633804771261,196.495,21.4729845169241
"6",0.15,372.531,134.894898616192,201.388,30.9757155034545,170.875,12.7754681944572,185.406,21.4750632674817
"7",0.16,367.627,137.769526069132,191.975,30.0814439192714,161.077,12.1819321320746,175.173,20.0499643907931
"8",0.17,365.724,139.571264814653,183.068,30.2507269744461,152.912,11.9681030866003,167.59,20.2338654070177
"9",0.18,369.152,151.645762661979,175.585,29.8980043759724,144.949,12.3655693886819,157.914,19.5771772702264
"10",0.19,374.352,154.904704781887,171.605,33.3489899416778,138.118,11.5262713368605,152.202,19.9909187590974
"11",0.2,367.097,155.571945482536,163.245,28.4055954497147,131.773,11.1457480098331,145.837,19.2261300077544
"12",0.21,371.523,153.440083844901,157.971,32.4781925604242,126.442,11.117564312215,140.279,19.7163356862499
"13",0.22,372.427,155.762809180252,153.441,31.3985411665476,121.985,11.5177008310006,135.629,19.3528264315808
"14",0.23,375.232,163.669336858887,150.36,32.773136537086,117.262,11.5833298118257,130.934,20.1642317046854
"15",0.24,382.631,162.505153037569,145.333,32.1743889188637,112.291,10.8164372283259,126.366,19.2120052348823
"16",0.25,371.391,153.11920719038,142.716,31.8030624119562,108.763,11.2530645809247,122.72,18.3890662557335
"17",0.26,383.698,165.766212580348,141.093,35.3971652863659,105.265,10.4397204350865,118.367,18.054702525472
"18",0.27,387.982,172.687673876014,139,35.2366516800564,101.496,10.0826407078525,115.164,17.9711453743512
"19",0.28,383.39,173.129181866067,134.899,35.3122890330938,98.312,9.81687460585226,112.066,18.8034362075982
"20",0.29,394.422,171.366397985014,131.777,33.8205129780448,95.657,9.97360635997951,110.099,19.4029294868758
"21",0.3,395.091,175.607553173922,132.188,37.2752478207738,92.97,9.74104655506727,106.573,16.9395282879606
"22",0.31,401.243,181.369089697494,127.468,33.6039313206089,90.436,9.7682814928381,103.816,17.1797930514104
"23",0.32,408.694,187.349802007668,128.862,38.3025592100847,88.139,9.96920578903175,102.058,18.4592356120014
"24",0.33,411.03,193.918713814752,128.781,38.3376683669706,85.749,9.39106975755112,99.938,18.7735612658494
"25",0.34,415.727,194.527039869115,127.614,39.2101063048347,83.934,9.45034141991457,98.592,18.128325134225
"26",0.35,425.04,212.327839699629,123.527,35.0653511297099,81.758,9.55608469796887,95.871,17.8749509893838
"27",0.36,424.355,197.216650875078,122.204,38.0688011055985,80.691,9.89906614335466,95.327,19.2769726013364
"28",0.37,432.67,210.845333965101,121.929,40.2786336328248,78.533,9.81066563287936,93.133,18.6001956516129
"29",0.38,437.778,207.292013099142,121.489,38.8448555384339,76.35,8.90442523629621,91.395,18.657949889902
"30",0.39,431.057,197.190064842711,120.835,39.2976854672522,74.678,8.58510454333667,90.786,19.3527448371732
"31",0.4,448.342,209.219616393597,118.841,38.8641755752408,73.986,9.5675148989349,87.164,18.0343100877283
"32",0.41,464.648,222.252397566875,119.376,41.2194088223456,71.844,8.7389950242596,87.824,19.7559439491339
"33",0.42,460.821,236.61448682271,118.75,39.569625412117,70.871,9.13574413065629,87.635,20.9540174154229
"34",0.43,452.557,220.276027472985,117.365,40.6493313984762,69.471,9.21705555549673,84.817,20.2619361625946
"35",0.44,458.094,217.430294800649,119.571,43.4597711764651,68.54,9.40738533806811,84.756,20.4711878877004
"36",0.45,467.263,224.137563738162,116.69,42.0926322494767,66.516,8.63888733427948,83.116,19.0140494918383
"37",0.46,473.862,231.529131416966,119.567,45.0476725681117,66.031,9.26573757953963,81.567,19.1436671249526
"38",0.47,481.538,235.330127320802,118.127,43.7962667813592,64.695,8.43784167735874,81.683,20.2424867362997
"39",0.48,495.272,242.648218980017,116.917,43.8822260233088,63.667,8.84241478891933,80.883,20.8086595270169
"40",0.49,498.464,257.688653506797,117.526,43.5993833698394,62.872,9.00770529906228,80.479,21.8969183684379
"41",0.5,491.351,237.998321422652,114.826,43.4992863379609,61.953,8.97983454348845,79.303,21.622505028875
"42",0.51,507.931,247.390165797133,119.655,46.3568218273204,60.596,8.17224385157281,78.027,20.5707906612368
"43",0.52,513.615,240.205935952188,118.466,45.0475096106558,59.558,8.07501342672827,77.937,21.6355524109769
"44",0.53,517.617,257.466163089708,117.853,48.0882092291537,59.289,8.67829429045776,77.112,21.1850953329048
"45",0.54,513.465,241.42770784049,116.873,46.5176177352168,58.44,8.89907824404267,77.011,21.9903263607763
"46",0.55,515.892,243.75344937063,119.509,48.1993266975182,57.299,8.14542490892568,75.991,20.3259455638124
"47",0.56,519.492,257.177188028103,115.351,44.6918914811643,56.341,8.46394455070196,75.605,21.3314792503241
"48",0.57,528.926,264.35813917818,119.19,47.3697772403016,56.075,8.45356953232407,75.653,22.4981945888945
"49",0.58,529.535,260.165314301822,119.734,48.2850358671161,54.966,8.3658132199345,74.203,20.7063406603761
"50",0.59,548.055,274.011109378914,117.055,48.9152192438475,54.164,8.45367189856388,74.835,22.9847792044012
"51",0.6,535.978,269.514146922553,121.106,51.6867515354204,53.927,8.34897457035152,74.465,22.4586545938568
"52",0.61,567.369,287.244634970471,118.827,49.921470573534,53.38,8.33469058016355,73.822,23.1541017625048
"53",0.62,571.106,268.391678069304,117.825,47.522360523755,52.546,8.14851411499559,72.614,22.3381735600294
"54",0.63,566.396,292.90166364937,124.101,53.8389025373514,51.781,8.22317819700264,72.981,23.2066194476099
"55",0.64,583.98,288.805755421121,117.528,51.6038387348477,50.806,8.09035338028061,72.38,22.5621508427422
"56",0.65,589.885,303.030185077441,119.059,51.0190794258919,50.341,7.91943409824442,72.257,22.308487613902
"57",0.66,605.746,320.627324732883,118.583,52.0693799783647,50.036,8.41650411640971,72.88,23.7797198275143
"58",0.67,593.039,303.281551001999,121.828,53.7060402073617,49.676,8.1434230725991,71.555,23.4589705293795
"59",0.68,602.371,298.218422614343,118.741,48.5509950270653,49.108,8.7752687332834,73.38,25.6148730569121
"60",0.69,599.773,289.554660422471,123.628,58.6644452213871,48.647,7.85035152200327,71.601,23.6177814072067
"61",0.7,611.926,304.544932875496,116.745,48.881646764306,48.883,8.91037068284511,70.934,23.868710885998
"62",0.71,608.149,303.24062999321,118.885,48.202004192857,47.578,8.22651758592854,71.261,25.7174700790585
"63",0.72,642.275,343.407003051401,119.966,53.4837859482606,47.294,8.28638812922906,71.074,23.5363651502199
"64",0.73,628.702,298.632390240075,121.744,50.7907093882352,46.782,8.25546053401194,69.768,23.0460690204924
"65",0.74,624.281,337.54489863957,122.181,53.9246521278265,46.356,8.23802944454128,70.092,24.8131664490695
"66",0.75,637.979,316.955456366222,121.625,53.5171791433691,46.78,8.63772019749483,70.369,25.910001296163
"67",0.76,637.573,326.087929873231,122.53,56.0876717909286,45.559,7.82826933624545,71.378,24.7368758946846
"68",0.77,651.469,344.556224774754,126.219,56.4876968808155,44.699,8.00127611193486,70.558,24.6274063828318
"69",0.78,672.883,346.944664047325,123.802,55.6167962402009,44.772,7.92482295189103,70.269,25.242024459199
"70",0.79,671.839,348.739855143581,120.116,52.2698448503598,44.101,7.9207030329723,70.984,26.4952399827166
"71",0.8,686.15,359.038722569453,125.104,57.3282802438353,44.49,8.65972810721508,70.177,25.6600879014689
"72",0.81,686.186,342.508130156385,120.952,52.7234051769558,43.965,8.5759735495349,70.83,25.4396595157301
"73",0.82,691.569,353.819546535392,126.324,56.4563933345759,43.649,8.54346474153138,70.016,26.0812955578893
"74",0.83,690.332,335.299334057525,126.197,59.1716949265481,42.551,7.90644742668355,69.53,25.3173867148659
"75",0.84,715.384,369.784925916992,126.294,59.4307460627711,42.972,9.00045688974867,70.192,26.1238893274641
"76",0.85,696.13,379.036734296224,124.945,56.1178865620596,42.604,8.88212114734291,70.089,29.02170460773
"77",0.86,704.282,363.048984354785,130.603,60.145880307116,41.949,7.78929214191329,69.933,27.5236273238296
"78",0.87,725.586,376.421827204529,130.576,61.9241861377994,41.949,8.26854084876937,70.402,27.0674165934069
"79",0.88,708.161,355.210153757367,131.088,61.9783314519645,41.911,8.58818000718638,70.801,25.9590691719151
"80",0.89,745.01,400.303905947865,130.833,66.9921268214113,41.326,8.90499988899624,71.483,27.8870112489022
"81",0.9,762.932,409.740899814726,128.645,60.7521011389136,41.122,8.53815062036364,70.301,27.4414181563277
